position,name,team,level,league,nationality,dob,age,overall,potential,salary,years_left,contract_value,total_years
RP,Reeve Carey,Cincinnati,MLB,MLB,USA,04/17/2042,25,1.5,3.5,284000.0,0,284000.0,1
RF,Todd Carlson,Tampa Bay,MLB,MLB,USA,06/12/2042,25,2.5,4.0,284000.0,0,284000.0,1
RP,Rusty Carney,Milwaukee,MLB,MLB,USA,06/27/2042,25,2.5,3.5,284000.0,0,284000.0,1
RP,Zack Carr,Boise,MLB,MLB,USA,12/03/2042,25,2.0,4.5,284000.0,0,284000.0,1
LF,Júlio Carranza,Boise,MLB,MLB,PUR,04/16/2042,25,2.5,2.5,284000.0,0,284000.0,1
RP,Augusto Carrasquillo,Philadelphia,MLB,MLB,PUR,11/05/2040,27,2.5,2.5,284000.0,0,284000.0,1
1B,José María Carrillo,Washington,MLB,MLB,MEX,06/10/2042,25,2.0,3.0,284000.0,0,284000.0,1
1B,Tad Carrillo,Tampa Bay,MLB,MLB,USA,05/15/2041,26,3.5,3.5,284000.0,0,284000.0,1
RP,Devon Cassidy,Boise,MLB,MLB,USA,11/27/2039,28,2.5,3.0,284000.0,0,284000.0,1
SP,Miguel Castillo,Tampa Bay,MLB,MLB,PUR,01/15/2042,26,3.0,3.0,284000.0,0,284000.0,1
RP,Redmund Chaplin,St. Louis,MLB,MLB,USA,06/25/2043,24,1.5,3.0,284000.0,0,284000.0,1
RP,Tim Chase,Kansas City,MLB,MLB,USA,01/08/2041,27,3.0,3.0,284000.0,0,284000.0,1
RP,Neil Cheek,Boise,MLB,MLB,USA,12/15/2041,26,2.5,3.0,284000.0,0,284000.0,1
1B,Markel Chen,St. Louis,MLB,MLB,PUR,07/29/2041,26,2.5,2.5,284000.0,0,284000.0,1
LF,Jaden Cherry,Boise,MLB,MLB,USA,05/07/2042,25,5.0,5.0,284000.0,0,284000.0,1
1B,Jack Churilla,Albuquerque,MLB,MLB,USA,08/11/2041,26,2.5,2.5,284000.0,0,284000.0,1
RP,Tyler Cigainero,Los Angeles,MLB,MLB,USA,01/30/2042,26,2.0,2.5,284000.0,0,284000.0,1
C,Elijah Close,Los Angeles,MLB,MLB,USA,06/09/2042,25,2.5,3.0,284000.0,0,284000.0,1
SS,Andrew Cohen,Atlanta,MLB,MLB,USA,01/02/2043,25,4.5,5.0,284000.0,0,284000.0,1
RP,Oliver Cole,Toronto,MLB,MLB,USA,11/12/2042,25,3.5,3.5,284000.0,0,284000.0,1
C,Antwan Coles,Cincinnati,MLB,MLB,USA,01/02/2042,26,2.5,2.5,284000.0,0,284000.0,1
CF,Jasper Conrad,Austin,MLB,MLB,USA,07/02/2045,22,2.5,5.0,284000.0,0,284000.0,1
1B,Jayson Cordero,Tampa Bay,MLB,MLB,PUR,06/01/2042,25,2.5,3.0,284000.0,0,284000.0,1
C,Jax Cottingham,New York,MLB,MLB,USA,06/20/2042,25,3.5,5.0,284000.0,0,284000.0,1
CF,Andy Coughenour,Detroit,MLB,MLB,USA,09/07/2042,25,2.5,2.5,284000.0,0,284000.0,1
1B,Alex Courtemanche,Montreal,MLB,MLB,USA,06/26/2040,27,2.0,2.5,284000.0,0,284000.0,1
1B,Bodo Cramer,Miami,MLB,MLB,USA,08/06/2039,28,2.5,3.0,284000.0,0,284000.0,1
SP,Gus Cundy,Nashville,MLB,MLB,USA,01/19/2043,25,4.0,5.0,284000.0,0,284000.0,1
SP,Mário Córdoba,Boston,MLB,MLB,PUR,11/11/2037,30,2.5,2.5,284000.0,0,284000.0,1
2B,Jody Côté,Oakland,MLB,MLB,CAN,03/07/2040,27,2.5,4.0,284000.0,0,284000.0,1
SP,Spencer D'Imperio,Arizona,MLB,MLB,USA,06/08/2040,27,2.5,2.5,284000.0,0,284000.0,1
1B,Tyler Dale,Tampa Bay,MLB,MLB,USA,03/24/2044,23,2.0,3.0,284000.0,0,284000.0,1
RP,Caleb Dao,Nashville,MLB,MLB,USA,04/14/2039,28,2.5,2.5,284000.0,0,284000.0,1
RP,Jon David,San Diego,MLB,MLB,USA,04/19/2043,24,2.0,5.0,284000.0,0,284000.0,1
RP,Addison Davis,Washington,MLB,MLB,USA,11/20/2043,24,1.5,3.5,284000.0,0,284000.0,1
LF,Reid Davis,Minnesota,MLB,MLB,USA,03/19/2039,28,2.5,2.5,284000.0,0,284000.0,1
RP,Tayshawn Davis,St. Louis,MLB,MLB,USA,03/08/2039,28,2.5,3.0,284000.0,0,284000.0,1
1B,Juliano De La Fuente,Cincinnati,MLB,MLB,PUR,07/22/2042,25,2.5,3.0,284000.0,0,284000.0,1
2B,Ibrahim De Los Santos,St. Louis,MLB,MLB,PUR,04/11/2039,28,2.5,3.0,284000.0,0,284000.0,1
CL,Aeon Dean,Salt Lake,MLB,MLB,USA,02/16/2039,28,3.0,3.0,284000.0,0,284000.0,1
RP,George DeFrance,Miami,MLB,MLB,USA,09/11/2041,26,3.0,4.5,284000.0,0,284000.0,1
RP,Francisco Del Orbe,New York,MLB,MLB,PUR,01/12/2044,24,2.5,5.0,284000.0,0,284000.0,1
RP,Rey Delgado,Portland,MLB,MLB,PUR,08/11/2043,24,2.5,5.0,284000.0,0,284000.0,1
SS,Calvino Delionis,St. Louis,MLB,MLB,PUR,01/13/2042,26,2.5,2.5,284000.0,0,284000.0,1
RP,Jimmy Delp,Houston,MLB,MLB,USA,07/17/2042,25,1.5,5.0,284000.0,0,284000.0,1
RP,Jayce Dent,New Orleans,MLB,MLB,USA,06/05/2041,26,2.5,3.0,284000.0,0,284000.0,1
RF,Joseph Dent Jr.,Baltimore,MLB,MLB,USA,10/20/2041,26,2.5,3.0,284000.0,0,284000.0,1
C,Mario Denton,Detroit,MLB,MLB,CAN,05/19/2042,25,2.0,2.5,284000.0,0,284000.0,1
C,C.J. Dickerson,Austin,MLB,MLB,USA,02/04/2040,27,3.0,3.5,284000.0,0,284000.0,1
CF,Ethan Diril,Cincinnati,MLB,MLB,CAN,01/04/2044,24,2.5,2.5,284000.0,0,284000.0,1
RP,A.J. Dominguez,Houston,MLB,MLB,USA,07/01/2042,25,2.0,3.0,284000.0,0,284000.0,1
2B,Chet Downing,Vancouver,MLB,MLB,USA,01/02/2042,26,3.0,4.5,284000.0,0,284000.0,1
RP,Caleb Doyle,Chicago,MLB,MLB,CAN,10/12/2039,28,4.0,4.0,284000.0,0,284000.0,1
1B,David K. Dreyfus,New Orleans,MLB,MLB,USA,10/20/2038,29,2.5,2.5,284000.0,0,284000.0,1
SP,Chase DuBose,Kansas City,MLB,MLB,USA,06/21/2041,26,2.5,3.0,284000.0,0,284000.0,1
1B,Jacob Dugas,Salt Lake,MLB,MLB,CAN,05/20/2040,27,2.5,3.0,284000.0,0,284000.0,1
C,Nathaniel Dulla,Philadelphia,MLB,MLB,USA,09/23/2041,26,2.0,2.5,284000.0,0,284000.0,1
RF,Lewis Dutton,Cleveland,MLB,MLB,USA,10/15/2042,25,2.0,4.5,284000.0,0,284000.0,1
SP,C.J. Déry,Portland,MLB,MLB,CAN,07/03/2037,30,3.0,3.0,284000.0,0,284000.0,1
RP,Rob Ellis,St. Louis,MLB,MLB,CAN,03/03/2043,24,2.0,3.5,284000.0,0,284000.0,1
RP,Shannon Enriquez,Toronto,MLB,MLB,PUR,09/05/2040,27,3.0,4.0,284000.0,0,284000.0,1
SP,Lourino Espinal,St. Louis,MLB,MLB,PUR,01/02/2042,26,2.5,2.5,284000.0,0,284000.0,1
SP,Sterling Eustace,Cincinnati,MLB,MLB,USA,04/22/2043,24,3.0,3.5,284000.0,0,284000.0,1
RP,Joe Ewing,Los Angeles,MLB,MLB,USA,12/30/2039,28,2.0,2.5,284000.0,0,284000.0,1
CF,Tito Falcon,Colorado,MLB,MLB,PUR,03/06/2043,24,2.0,4.0,284000.0,0,284000.0,1
C,Agustin Farley,Houston,MLB,MLB,USA,09/30/2041,26,3.0,3.0,284000.0,0,284000.0,1
CF,Alex Faver,Albuquerque,MLB,MLB,USA,04/28/2041,26,2.5,3.0,284000.0,0,284000.0,1
RP,Steve Feighner,St. Louis,MLB,MLB,USA,09/26/2042,25,2.0,3.0,284000.0,0,284000.0,1
RF,Vinny Feliz,Miami,MLB,MLB,PUR,08/22/2040,27,3.0,3.0,284000.0,0,284000.0,1
3B,Ben Ferenz,Cleveland,MLB,MLB,USA,08/30/2042,25,2.0,2.5,284000.0,0,284000.0,1
LF,Juvenal Fernandez,Oakland,MLB,MLB,PUR,11/19/2039,28,2.5,3.0,284000.0,0,284000.0,1
2B,Espirito Fernández,Detroit,MLB,MLB,PUR,08/18/2042,25,2.5,4.0,284000.0,0,284000.0,1
2B,Nick Fields,Tampa Bay,MLB,MLB,USA,07/28/2040,27,2.5,3.5,284000.0,0,284000.0,1
RP,Adan Fischenich,Montreal,MLB,MLB,USA,09/08/2042,25,2.0,3.0,284000.0,0,284000.0,1
LF,Justin Fish,Carolina,MLB,MLB,USA,07/10/2041,26,2.5,2.5,284000.0,0,284000.0,1
SS,Oliver Fisher,Detroit,MLB,MLB,USA,09/06/2041,26,3.5,4.0,284000.0,0,284000.0,1
LF,Martin Fitzgibbon,Albuquerque,MLB,MLB,USA,03/05/2042,25,1.5,3.5,284000.0,0,284000.0,1
RP,Jordan Flentge,Philadelphia,MLB,MLB,USA,02/27/2039,28,2.5,2.5,284000.0,0,284000.0,1
RP,Reynaldo Flores,Boston,MLB,MLB,PUR,11/11/2043,24,2.0,4.5,284000.0,0,284000.0,1
RP,Kevin Fortgang,Chicago,MLB,MLB,USA,12/27/2043,24,2.0,3.0,284000.0,0,284000.0,1
RP,Connor Foster,Milwaukee,MLB,MLB,USA,07/07/2041,26,3.5,4.0,284000.0,0,284000.0,1
RP,Xavi Foster,St. Louis,MLB,MLB,CAN,09/11/2042,25,2.5,3.0,284000.0,0,284000.0,1
RF,Kip Fox,Baltimore,MLB,MLB,CAN,08/03/2042,25,1.5,3.0,284000.0,0,284000.0,1
SP,Bob Frailey,St. Louis,MLB,MLB,USA,02/08/2042,25,2.5,4.0,284000.0,0,284000.0,1
CF,Damián Franco,Houston,MLB,MLB,PUR,04/07/2044,23,2.0,3.5,284000.0,0,284000.0,1
RF,Lyle Frank,Carolina,MLB,MLB,USA,11/09/2042,25,1.5,3.0,284000.0,0,284000.0,1
SP,Kipp Freiman,Chicago,MLB,MLB,USA,11/03/2043,24,3.5,5.0,284000.0,0,284000.0,1
2B,Liam Frossard,Vancouver,MLB,MLB,USA,01/31/2044,24,2.5,5.0,284000.0,0,284000.0,1
RP,Patricio Fuentes,Carolina,MLB,MLB,PUR,04/30/2041,26,2.0,2.0,284000.0,0,284000.0,1
RP,Leo Gaccia,Detroit,MLB,MLB,PUR,11/21/2042,25,2.0,3.0,284000.0,0,284000.0,1
RP,Michael Gamboa,San Francisco,MLB,MLB,USA,05/09/2042,25,3.5,4.0,284000.0,0,284000.0,1
CF,Aubray Garcia,Milwaukee,MLB,MLB,USA,09/26/2042,25,3.0,3.5,284000.0,0,284000.0,1
RP,Erik Gaudreault,Arizona,MLB,MLB,CAN,10/13/2041,26,2.5,3.0,284000.0,0,284000.0,1
1B,Wendell Genovese,Washington,MLB,MLB,USA,04/06/2038,29,2.5,3.0,284000.0,0,284000.0,1
1B,Josh Geving,Tampa Bay,MLB,MLB,USA,02/21/2042,25,3.5,4.0,284000.0,0,284000.0,1
RP,Jaron Gibbs,Colorado,MLB,MLB,USA,10/26/2041,26,2.5,2.5,284000.0,0,284000.0,1
SP,Wish Gibbs,New Orleans,MLB,MLB,USA,01/04/2041,27,3.0,4.5,284000.0,0,284000.0,1
C,Logan Gillick,Baltimore,MLB,MLB,USA,11/10/2040,27,3.0,3.5,284000.0,0,284000.0,1
RF,Camden Gilroy,Chicago,MLB,MLB,USA,07/28/2042,25,3.0,5.0,284000.0,0,284000.0,1
1B,Asher Girt,Detroit,MLB,MLB,USA,01/30/2042,26,2.5,3.0,284000.0,0,284000.0,1
SS,Orlando Gonzalez,Cleveland,MLB,MLB,PUR,06/12/2042,25,2.5,3.5,284000.0,0,284000.0,1
RP,Mateo Gonzáles,Vancouver,MLB,MLB,PUR,11/05/2046,21,2.0,5.0,284000.0,0,284000.0,1
3B,Guillermo Goplen,Houston,MLB,MLB,USA,07/17/2040,27,3.0,4.0,284000.0,0,284000.0,1
3B,Gary Graner,Seattle,MLB,MLB,USA,12/16/2041,26,4.5,5.0,284000.0,0,284000.0,1
RF,Bentley Griffiths,Arizona,MLB,MLB,CAN,10/13/2039,28,3.0,4.0,284000.0,0,284000.0,1
C,Cecil Gudmundsen,Chicago,MLB,MLB,USA,07/25/2041,26,2.5,2.5,284000.0,0,284000.0,1
RP,Lionel Guerin,Albuquerque,MLB,MLB,PUR,02/22/2036,31,2.0,2.0,284000.0,0,284000.0,1
CF,Scottie Guerrero,Baltimore,MLB,MLB,PUR,08/17/2040,27,2.5,2.5,284000.0,0,284000.0,1
3B,Clément Guilbault,Boston,MLB,MLB,CAN,04/19/2040,27,2.5,3.0,284000.0,0,284000.0,1
2B,Chris Guillory,Montreal,MLB,MLB,USA,04/15/2042,25,3.5,4.0,284000.0,0,284000.0,1
1B,Roman Guzman,Minnesota,MLB,MLB,USA,08/22/2040,27,2.5,2.5,284000.0,0,284000.0,1
CF,King Hannon,Chicago,MLB,MLB,USA,06/27/2038,29,2.5,3.0,284000.0,0,284000.0,1
C,Ollie Hanson,Miami,MLB,MLB,CAN,05/23/2042,25,3.0,3.0,284000.0,0,284000.0,1
C,Bobby Harris,Vancouver,MLB,MLB,USA,08/31/2041,26,3.5,3.5,284000.0,0,284000.0,1
1B,Stu Harris,Cleveland,MLB,MLB,USA,09/11/2043,24,1.5,2.5,284000.0,0,284000.0,1
CF,Dale Hawkins,Tampa Bay,MLB,MLB,USA,02/21/2042,25,3.0,3.0,284000.0,0,284000.0,1
RP,Alexander Hawley,Philadelphia,MLB,MLB,USA,10/01/2042,25,2.0,4.0,284000.0,0,284000.0,1
RP,Jayden Heald,New Orleans,MLB,MLB,USA,05/26/2042,25,2.5,5.0,284000.0,0,284000.0,1
RP,Ares Heath,New York,MLB,MLB,USA,03/12/2039,28,4.0,4.0,284000.0,0,284000.0,1
RP,Jason Heinz,Austin,MLB,MLB,USA,12/21/2039,28,2.5,3.0,284000.0,0,284000.0,1
C,Kyle Heleniak,Chicago,MLB,MLB,USA,02/24/2043,24,2.5,3.0,284000.0,0,284000.0,1
RP,Damon Henry,Philadelphia,MLB,MLB,USA,03/07/2042,25,2.0,4.5,284000.0,0,284000.0,1
1B,P.J. Herbstman,St. Louis,MLB,MLB,USA,03/23/2043,24,2.5,2.5,284000.0,0,284000.0,1
3B,Ben Herrera,Boston,MLB,MLB,USA,01/03/2043,25,1.5,3.5,284000.0,0,284000.0,1
SP,Diosvel Hewitt,New York,MLB,MLB,USA,05/16/2041,26,2.5,2.5,284000.0,0,284000.0,1
2B,Melvin Hinojosa,Oakland,MLB,MLB,MEX,05/06/2042,25,4.5,5.0,284000.0,0,284000.0,1
3B,Tommy Holliman,Boston,MLB,MLB,USA,09/10/2043,24,2.5,3.0,284000.0,0,284000.0,1
C,Elias Holloman,Chicago,MLB,MLB,USA,07/04/2043,24,2.0,3.0,284000.0,0,284000.0,1
1B,Zach Homan,Austin,MLB,MLB,USA,01/01/2040,28,2.5,2.5,284000.0,0,284000.0,1
RP,Avery Hoomes,Houston,MLB,MLB,USA,12/05/2041,26,3.5,3.5,284000.0,0,284000.0,1
2B,Rod Hoover,New Orleans,MLB,MLB,USA,09/29/2040,27,2.5,2.5,284000.0,0,284000.0,1
1B,Mason Howell,Colorado,MLB,MLB,USA,09/29/2041,26,2.5,2.5,284000.0,0,284000.0,1
LF,Rion Hoyt,Kansas City,MLB,MLB,USA,02/07/2043,24,2.0,3.5,284000.0,0,284000.0,1
LF,Paris Huesca,Boise,MLB,MLB,PUR,04/28/2041,26,2.0,3.0,284000.0,0,284000.0,1
RF,Thomas Hughes,Los Angeles,MLB,MLB,USA,01/09/2042,26,3.0,3.0,284000.0,0,284000.0,1
3B,Clay Humphries,Washington,MLB,MLB,USA,08/14/2042,25,1.5,3.5,284000.0,0,284000.0,1
2B,Christian Hunt,Cleveland,MLB,MLB,USA,01/01/2044,24,2.5,5.0,284000.0,0,284000.0,1
SP,Nik Iliff,Austin,MLB,MLB,USA,08/30/2041,26,2.5,3.0,284000.0,0,284000.0,1
3B,Delon Ingram,St. Louis,MLB,MLB,USA,03/12/2044,23,1.5,3.0,284000.0,0,284000.0,1
RP,Jordan Izquierdo,Portland,MLB,MLB,USA,05/03/2042,25,2.5,3.5,284000.0,0,284000.0,1
LF,Ben Jamar,Atlanta,MLB,MLB,USA,04/29/2042,25,2.5,3.0,284000.0,0,284000.0,1
2B,Jeremy James,Minnesota,MLB,MLB,CAN,04/16/2040,27,2.5,2.5,284000.0,0,284000.0,1
C,Quincy Jefferson,St. Louis,MLB,MLB,USA,06/13/2041,26,3.5,3.5,284000.0,0,284000.0,1
SP,Heung-Soo Jei,New York,MLB,MLB,KOR,11/13/2043,24,2.5,4.5,284000.0,0,284000.0,1
3B,Solano Jesus,Nashville,MLB,MLB,PUR,04/15/2041,26,2.5,3.5,284000.0,0,284000.0,1
RP,Sebastian Jiménez,Cleveland,MLB,MLB,USA,10/22/2042,25,2.5,5.0,284000.0,0,284000.0,1
RP,Alexander Johnson,Minnesota,MLB,MLB,USA,05/15/2040,27,3.0,3.0,284000.0,0,284000.0,1
RP,Brenton Johnson,Salt Lake,MLB,MLB,USA,06/01/2034,33,2.5,2.5,284000.0,0,284000.0,1
RP,Joe Johnson,Austin,MLB,MLB,USA,01/18/2042,26,2.5,2.5,284000.0,0,284000.0,1
C,Terrell Johnston,Seattle,MLB,MLB,USA,07/07/2042,25,4.0,4.0,284000.0,0,284000.0,1
3B,Isaac Jones,Seattle,MLB,MLB,USA,02/15/2044,23,2.0,3.0,284000.0,0,284000.0,1
CF,Tae-Heon Joo,New Orleans,MLB,MLB,KOR,01/06/2041,27,2.5,4.0,284000.0,0,284000.0,1
RP,Carlo Jordan,San Diego,MLB,MLB,USA,07/11/2040,27,2.5,2.5,284000.0,0,284000.0,1
SS,Dudley Jorgensen,New Orleans,MLB,MLB,USA,05/19/2040,27,2.5,2.5,284000.0,0,284000.0,1
CF,Logan Junck,Albuquerque,MLB,MLB,USA,05/31/2042,25,3.5,3.5,284000.0,0,284000.0,1
RF,David Juárez,Omaha,MLB,MLB,MEX,07/27/2042,25,2.0,3.0,284000.0,0,284000.0,1
CF,Thomas Kaai,New York,MLB,MLB,USA,11/02/2043,24,2.5,5.0,284000.0,0,284000.0,1
RP,Darren Kaneko,Philadelphia,MLB,MLB,CAN,12/31/2041,26,2.5,2.5,284000.0,0,284000.0,1
RF,John Keller,Omaha,MLB,MLB,CAN,12/25/2041,26,1.5,4.0,284000.0,0,284000.0,1
RP,Jaxson Kelly,Cleveland,MLB,MLB,CAN,04/27/2039,28,3.0,3.5,284000.0,0,284000.0,1
RP,Christian Kenepp,Philadelphia,MLB,MLB,USA,12/30/2042,25,1.5,4.5,284000.0,0,284000.0,1
RP,Merlin Kent,Cincinnati,MLB,MLB,USA,06/03/2039,28,2.5,2.5,284000.0,0,284000.0,1
1B,Scott Kiley,Los Angeles,MLB,MLB,USA,03/08/2045,22,3.5,4.0,284000.0,0,284000.0,1
RP,Caleb Kim,New York,MLB,MLB,USA,01/23/2044,24,1.5,3.5,284000.0,0,284000.0,1
RP,Ji-Hoo Kim,Salt Lake,MLB,MLB,KOR,01/22/2043,25,1.5,2.5,284000.0,0,284000.0,1
RP,Bruce King,Colorado,MLB,MLB,USA,02/12/2044,23,2.5,2.5,284000.0,0,284000.0,1
2B,Gabe King,Chicago,MLB,MLB,USA,02/04/2041,26,2.5,2.5,284000.0,0,284000.0,1
1B,Blue Kinney,Cleveland,MLB,MLB,USA,02/08/2042,25,2.0,3.5,284000.0,0,284000.0,1
LF,Hunter Kirk,Cincinnati,MLB,MLB,USA,07/24/2044,23,5.0,5.0,284000.0,0,284000.0,1
2B,Jason Klahr,Miami,MLB,MLB,USA,01/19/2045,23,3.0,3.0,284000.0,0,284000.0,1
SP,Will Klein,Cleveland,MLB,MLB,USA,10/19/2041,26,2.5,3.5,284000.0,0,284000.0,1
1B,David Knutson,New York,MLB,MLB,USA,06/01/2042,25,2.5,2.5,284000.0,0,284000.0,1
CF,Max Kohl,Chicago,MLB,MLB,USA,10/08/2038,29,2.5,2.5,284000.0,0,284000.0,1
3B,Max Kohlhoff,Philadelphia,MLB,MLB,USA,12/16/2041,26,2.5,2.5,284000.0,0,284000.0,1
LF,Riley Kotowski,Houston,MLB,MLB,USA,03/30/2044,23,2.0,3.0,284000.0,0,284000.0,1
SS,Josef Krohn,Arizona,MLB,MLB,USA,10/24/2040,27,2.5,2.5,284000.0,0,284000.0,1
CF,Rocky Kroner,Tampa Bay,MLB,MLB,USA,05/14/2043,24,2.5,4.0,284000.0,0,284000.0,1
CL,Jason Krzesinski,Vancouver,MLB,MLB,USA,06/15/2042,25,4.5,5.0,284000.0,0,284000.0,1
2B,Eugene Kuchenmeister,Boise,MLB,MLB,USA,07/01/2039,28,2.5,3.5,284000.0,0,284000.0,1
RP,Dalton Kuether,Albuquerque,MLB,MLB,USA,08/22/2041,26,3.0,4.5,284000.0,0,284000.0,1
RP,Gray Kuhn,St. Louis,MLB,MLB,USA,07/18/2043,24,1.5,3.0,284000.0,0,284000.0,1
LF,Thomas Kunish,New Orleans,MLB,MLB,USA,10/23/2041,26,2.5,2.5,284000.0,0,284000.0,1
RP,Deacon Kurtzman,Colorado,MLB,MLB,USA,02/27/2040,27,3.0,3.0,284000.0,0,284000.0,1
SP,Bryson Lacy,Cleveland,MLB,MLB,USA,09/28/2042,25,3.0,5.0,284000.0,0,284000.0,1
RP,Dario Landavazo,New Orleans,MLB,MLB,PUR,09/13/2043,24,2.5,2.5,284000.0,0,284000.0,1
RP,Jase Lang,Boston,MLB,MLB,USA,12/26/2034,33,2.5,2.5,284000.0,0,284000.0,1
RP,Chris Lao,Milwaukee,MLB,MLB,USA,05/01/2037,30,2.5,2.5,284000.0,0,284000.0,1
RP,Bernardino Lara,Omaha,MLB,MLB,PUR,07/20/2039,28,3.0,3.0,284000.0,0,284000.0,1
LF,Lance Lawrence,Oakland,MLB,MLB,CAN,07/09/2040,27,3.0,3.0,284000.0,0,284000.0,1
1B,Monty Ledema,San Diego,MLB,MLB,PUR,09/09/2042,25,2.0,2.5,284000.0,0,284000.0,1
LF,Corky Ledesma,Portland,MLB,MLB,CUB,10/01/2041,26,2.5,3.0,284000.0,0,284000.0,1
3B,Deacon Lee,Seattle,MLB,MLB,USA,10/31/2040,27,3.0,3.5,284000.0,0,284000.0,1
RP,Grayson Lee,Baltimore,MLB,MLB,CAN,05/06/2039,28,2.5,3.0,284000.0,0,284000.0,1
LF,Ji-Yong Lee,New Orleans,MLB,MLB,KOR,10/12/2042,25,2.5,3.0,284000.0,0,284000.0,1
CF,Lindsay Lee,Colorado,MLB,MLB,PUR,07/27/2044,23,2.5,3.5,284000.0,0,284000.0,1
RP,Benjamin Leeman,Washington,MLB,MLB,USA,08/29/2041,26,3.5,3.5,284000.0,0,284000.0,1
RP,Sebastian Leigh,Seattle,MLB,MLB,USA,02/14/2044,23,1.5,3.0,284000.0,0,284000.0,1
SP,Ramsay Lessard,Baltimore,MLB,MLB,CAN,07/19/2039,28,2.5,3.0,284000.0,0,284000.0,1
C,Lou Levin,Kansas City,MLB,MLB,USA,06/08/2044,23,2.0,4.5,284000.0,0,284000.0,1
CF,Ethan Lewis,Minnesota,MLB,MLB,USA,12/19/2040,27,3.0,3.0,284000.0,0,284000.0,1
RP,Jonah Lewis,Carolina,MLB,MLB,CAN,04/05/2043,24,3.0,3.0,284000.0,0,284000.0,1
LF,Noah Lima,Kansas City,MLB,MLB,USA,08/21/2042,25,3.0,3.5,284000.0,0,284000.0,1
C,Alejandro Llamas,St. Louis,MLB,MLB,MEX,08/17/2042,25,2.5,3.5,284000.0,0,284000.0,1
2B,K.J. Logan,Minnesota,MLB,MLB,USA,06/01/2042,25,2.5,3.0,284000.0,0,284000.0,1
RP,Jonathan Longbottom,Baltimore,MLB,MLB,USA,01/16/2044,24,2.5,2.5,284000.0,0,284000.0,1
3B,Elder Lopez,Colorado,MLB,MLB,PUR,05/05/2041,26,2.5,2.5,284000.0,0,284000.0,1
CF,Jed Lorey,Miami,MLB,MLB,USA,12/27/2040,27,3.5,3.5,284000.0,0,284000.0,1
2B,Julian Losado,Houston,MLB,MLB,USA,10/17/2040,27,2.5,3.0,284000.0,0,284000.0,1
RF,Travis Louviere,Washington,MLB,MLB,USA,02/05/2044,23,3.0,5.0,284000.0,0,284000.0,1
1B,Ventura Luna,Los Angeles,MLB,MLB,PUR,08/28/2042,25,2.0,4.5,284000.0,0,284000.0,1
C,Locomotive Lund,Omaha,MLB,MLB,USA,11/12/2041,26,2.5,3.0,284000.0,0,284000.0,1
LF,Charlie Lussier,New York,MLB,MLB,USA,04/10/2044,23,3.0,3.0,284000.0,0,284000.0,1
RP,Gavin Lussier,Detroit,MLB,MLB,USA,04/25/2042,25,1.5,3.0,284000.0,0,284000.0,1
RP,Kareem Luviano,Atlanta,MLB,MLB,USA,09/09/2040,27,1.5,2.0,284000.0,0,284000.0,1
C,Tye Lux,Salt Lake,MLB,MLB,PUR,02/08/2043,24,2.0,5.0,284000.0,0,284000.0,1
SP,R.J. Lévesque,Omaha,MLB,MLB,CAN,08/23/2043,24,2.5,4.0,284000.0,0,284000.0,1
RP,Jacob Maes,Boston,MLB,MLB,USA,08/28/2043,24,1.5,4.0,284000.0,0,284000.0,1
RF,Jacob Maiers,Milwaukee,MLB,MLB,USA,06/21/2042,25,2.5,2.5,284000.0,0,284000.0,1
RP,Samuel Maldonado,Vancouver,MLB,MLB,PUR,09/20/2043,24,2.5,3.5,284000.0,0,284000.0,1
SP,Jack Mann,New Orleans,MLB,MLB,USA,10/21/2040,27,2.5,3.0,284000.0,0,284000.0,1
SP,Niccolo Maroquin,Salt Lake,MLB,MLB,PUR,02/06/2042,25,2.5,2.5,284000.0,0,284000.0,1
3B,Pablo Marquez,Carolina,MLB,MLB,PUR,01/11/2042,26,3.5,3.5,284000.0,0,284000.0,1
C,Ivory Marshall Jr.,Boston,MLB,MLB,USA,04/25/2043,24,2.5,5.0,284000.0,0,284000.0,1
3B,Richard Martel,Montreal,MLB,MLB,CAN,05/16/2040,27,2.5,2.5,284000.0,0,284000.0,1
SS,Robin Martin,Portland,MLB,MLB,USA,02/22/2043,24,3.5,3.5,284000.0,0,284000.0,1
2B,José Martínez,Arizona,MLB,MLB,CUB,12/06/2040,27,2.5,2.5,284000.0,0,284000.0,1
2B,Pisarro Martínez,Cincinnati,MLB,MLB,MEX,10/15/2040,27,2.5,4.0,284000.0,0,284000.0,1
RP,Ponziano Martínez,Carolina,MLB,MLB,PUR,01/07/2043,25,2.0,4.5,284000.0,0,284000.0,1
1B,Santiago Martínez,Colorado,MLB,MLB,MEX,04/29/2040,27,2.5,3.0,284000.0,0,284000.0,1
2B,Eduardo Marín,Kansas City,MLB,MLB,PUR,05/04/2043,24,2.0,3.5,284000.0,0,284000.0,1
1B,Áragorn Mata,Salt Lake,MLB,MLB,PUR,03/08/2043,24,3.0,3.5,284000.0,0,284000.0,1
RF,Robin Matsuno,Seattle,MLB,MLB,USA,12/11/2042,25,2.5,3.0,284000.0,0,284000.0,1
RP,Greyson Matthew,Omaha,MLB,MLB,USA,02/07/2040,27,2.5,3.0,284000.0,0,284000.0,1
RP,Harrison Matthews,Los Angeles,MLB,MLB,USA,08/12/2041,26,2.5,4.0,284000.0,0,284000.0,1
C,Rob McAdams,New York,MLB,MLB,USA,06/11/2041,26,2.5,3.0,284000.0,0,284000.0,1
